consumer,resource
Falco_spec.,Lagopus_spec.
Falco_spec.,shorebirds
Lagopus_spec.,arthropods
passerines,arthropods
shorebirds,arthropods
Mustela_erminea,lemmings
Mustela_erminea,Microtus_oeconomus
Vulpes_lagopus,lemmings
Vulpes_lagopus,Microtus_oeconomus
Vulpes_lagopus,Lepus_arcticus
Vulpes_lagopus,Lagopus_spec.
Vulpes_lagopus,waterfowl
Vulpes_lagopus,passerines
Vulpes_lagopus,shorebirds
Vulpes_vulpes,lemmings
Vulpes_vulpes,Microtus_oeconomus
Vulpes_vulpes,Lepus_arcticus
Vulpes_vulpes,passerines
Vulpes_vulpes,shorebirds
Vulpes_vulpes,waterfowl
Gulo_gulo,lemmings
Gulo_gulo,Lepus_arcticus
Gulo_gulo,Rangifer_tarandus
Ursus_horribilis,Lepus_arcticus
Ursus_horribilis,Rangifer_tarandus
Stercocarius_spec.,lemmings
Stercocarius_spec.,Microtus_oeconomus
Stercocarius_spec.,arthropods
Stercocarius_spec.,passerines
Larus_spec.,lemmings
Larus_spec.,Microtus_oeconomus
Larus_spec.,Lepus_arcticus
Larus_spec.,Lagopus_spec.
Larus_spec.,waterfowl
Bubo_scandiacus,lemmings
Bubo_scandiacus,Microtus_oeconomus
Bubo_scandiacus,Lagopus_spec.
Buteo_lagopus,lemmings
Buteo_lagopus,Microtus_oeconomus
Buteo_lagopus,Lagopus_spec.
Buteo_lagopus,passerines
Falco_spec.,lemmings
Falco_spec.,Microtus_oeconomus
